"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	89	57.983
"Ci_1_dprom"	"values"	2	123	56.569
"Prom_wt"	"values"	2	425	57.983
"Prom_dprom"	"values"	2	248	4.243
"C1_dprom_wt"	"values"	2	444	87.681
"C1_dprom_dprom"	"values"	2	0	0
"C2_wt"	"values"	2	181	63.64
"C2_dprom"	"values"	2	227.5	146.371
"C3_wt"	"values"	2	108.5	21.92
"C3_dprom"	"values"	2	205	46.669
"C4_enhA_wt"	"values"	2	387.5	106.773
"C4_enhA_dprom"	"values"	2	692	482.247
"C5_Badj_wt"	"values"	2	32.5	4.95
"C5_Badj_dprom"	"values"	2	154	43.841
"C6_enhB_wt"	"values"	2	72	16.971
"C6_enhB_dprom"	"values"	2	166.5	17.678
"controlPeak1_wt"	"values"	2	270	42.426
"controlPeak1_dprom"	"values"	2	315	35.355
"controlPeak2_wt"	"values"	2	1285	22.627
"controlPeak2_dprom"	"values"	2	1392.5	33.234
"controlPeak3_wt"	"values"	2	829.5	88.388
"controlPeak3_dprom"	"values"	2	752	176.777
