"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	89	57.983
"Ci_1_polyA"	"values"	2	262	69.296
"Prom_wt"	"values"	2	425	57.983
"Prom_polyA"	"values"	2	968.5	405.172
"C1_dprom_wt"	"values"	2	444	87.681
"C1_dprom_polyA"	"values"	2	964	333.754
"C2_wt"	"values"	2	181	63.64
"C2_polyA"	"values"	2	764	166.877
"C3_wt"	"values"	2	108.5	21.92
"C3_polyA"	"values"	2	464	185.262
"C4_enhA_wt"	"values"	2	387.5	106.773
"C4_enhA_polyA"	"values"	2	1225.5	504.167
"C5_Badj_wt"	"values"	2	32.5	4.95
"C5_Badj_polyA"	"values"	2	317	147.078
"C6_enhB_wt"	"values"	2	72	16.971
"C6_enhB_polyA"	"values"	2	225.5	53.033
"controlPeak1_wt"	"values"	2	270	42.426
"controlPeak1_polyA"	"values"	2	367	21.213
"controlPeak2_wt"	"values"	2	1285	22.627
"controlPeak2_polyA"	"values"	2	1253.5	222.739
"controlPeak3_wt"	"values"	2	829.5	88.388
"controlPeak3_polyA"	"values"	2	822	138.593
