"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	100	5.657
"Ci_1_dprom"	"values"	2	96.5	31.82
"Prom_wt"	"values"	2	106.5	71.418
"Prom_dprom"	"values"	2	91.5	60.104
"C1_dprom_wt"	"values"	2	98	56.569
"C1_dprom_dprom"	"values"	2	2	2.828
"C2_wt"	"values"	2	193	48.083
"C2_dprom"	"values"	2	247.5	177.484
"C3_wt"	"values"	2	122.5	43.134
"C3_dprom"	"values"	2	119.5	10.607
"C4_enhA_wt"	"values"	2	417	33.941
"C4_enhA_dprom"	"values"	2	366	141.421
"C5_Badj_wt"	"values"	2	112.5	31.82
"C5_Badj_dprom"	"values"	2	200.5	105.359
"C6_enhB_wt"	"values"	2	144.5	9.192
"C6_enhB_dprom"	"values"	2	174	121.622
"controlPeak1_wt"	"values"	2	137.5	113.844
"controlPeak1_dprom"	"values"	2	19.5	12.021
"controlPeak2_wt"	"values"	2	117.5	98.288
"controlPeak2_dprom"	"values"	2	43	55.154
"controlPeak3_wt"	"values"	2	549.5	224.153
"controlPeak3_dprom"	"values"	2	834.5	167.584
