"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	100	5.657
"Ci_1_polyA"	"values"	2	251.5	153.442
"Prom_wt"	"values"	2	106.5	71.418
"Prom_polyA"	"values"	2	372.5	239.709
"C1_dprom_wt"	"values"	2	98	56.569
"C1_dprom_polyA"	"values"	2	308	253.144
"C2_wt"	"values"	2	193	48.083
"C2_polyA"	"values"	2	422	271.529
"C3_wt"	"values"	2	122.5	43.134
"C3_polyA"	"values"	2	377.5	198.697
"C4_enhA_wt"	"values"	2	417	33.941
"C4_enhA_polyA"	"values"	2	598	28.284
"C5_Badj_wt"	"values"	2	112.5	31.82
"C5_Badj_polyA"	"values"	2	345.5	277.893
"C6_enhB_wt"	"values"	2	144.5	9.192
"C6_enhB_polyA"	"values"	2	413.5	210.011
"controlPeak1_wt"	"values"	2	137.5	113.844
"controlPeak1_polyA"	"values"	2	13	2.828
"controlPeak2_wt"	"values"	2	117.5	98.288
"controlPeak2_polyA"	"values"	2	143	24.042
"controlPeak3_wt"	"values"	2	549.5	224.153
"controlPeak3_polyA"	"values"	2	629	291.328
