"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	185	4.243
"Ci_1_dprom"	"values"	2	277	93.338
"Prom_wt"	"values"	2	898.5	255.266
"Prom_dprom"	"values"	2	1181.5	92.631
"C1_dprom_wt"	"values"	2	464	66.468
"C1_dprom_dprom"	"values"	2	9	12.728
"C2_wt"	"values"	2	128	18.385
"C2_dprom"	"values"	2	223	114.551
"C3_wt"	"values"	2	64.5	28.991
"C3_dprom"	"values"	2	100.5	26.163
"C4_enhA_wt"	"values"	2	341	28.284
"C4_enhA_dprom"	"values"	2	814	360.624
"C5_Badj_wt"	"values"	2	34	2.828
"C5_Badj_dprom"	"values"	2	97.5	82.731
"C6_enhB_wt"	"values"	2	68	7.071
"C6_enhB_dprom"	"values"	2	105	31.113
"controlPeak1_wt"	"values"	2	171.5	26.163
"controlPeak1_dprom"	"values"	2	195.5	75.66
"controlPeak2_wt"	"values"	2	2056	113.137
"controlPeak2_dprom"	"values"	2	2203.5	721.956
"controlPeak3_wt"	"values"	2	2387	302.642
"controlPeak3_dprom"	"values"	2	2356.5	140.714
