"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	185	4.243
"Ci_1_polyA"	"values"	1	598	NA
"Prom_wt"	"values"	2	898.5	255.266
"Prom_polyA"	"values"	1	2913	NA
"C1_dprom_wt"	"values"	2	464	66.468
"C1_dprom_polyA"	"values"	1	1218	NA
"C2_wt"	"values"	2	128	18.385
"C2_polyA"	"values"	1	239	NA
"C3_wt"	"values"	2	64.5	28.991
"C3_polyA"	"values"	1	152	NA
"C4_enhA_wt"	"values"	2	341	28.284
"C4_enhA_polyA"	"values"	1	1854	NA
"C5_Badj_wt"	"values"	2	34	2.828
"C5_Badj_polyA"	"values"	1	205	NA
"C6_enhB_wt"	"values"	2	68	7.071
"C6_enhB_polyA"	"values"	1	296	NA
"controlPeak1_wt"	"values"	2	171.5	26.163
"controlPeak1_polyA"	"values"	1	392	NA
"controlPeak2_wt"	"values"	2	2056	113.137
"controlPeak2_polyA"	"values"	1	2112	NA
"controlPeak3_wt"	"values"	2	2387	302.642
"controlPeak3_polyA"	"values"	1	2453	NA
