"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	89	57.983
"Ci_1_dAB"	"values"	2	571	100.409
"Prom_wt"	"values"	2	425	57.983
"Prom_dAB"	"values"	2	1472.5	127.986
"C1_dprom_wt"	"values"	2	444	87.681
"C1_dprom_dAB"	"values"	2	1443.5	111.016
"C2_wt"	"values"	2	181	63.64
"C2_dAB"	"values"	2	1168.5	195.869
"C3_wt"	"values"	2	108.5	21.92
"C3_dAB"	"values"	2	350	179.605
"C4_enhA_wt"	"values"	2	387.5	106.773
"C4_enhA_dAB"	"values"	2	0	0
"C5_Badj_wt"	"values"	2	32.5	4.95
"C5_Badj_dAB"	"values"	2	290	79.196
"C6_enhB_wt"	"values"	2	72	16.971
"C6_enhB_dAB"	"values"	2	0	0
"controlPeak1_wt"	"values"	2	270	42.426
"controlPeak1_dAB"	"values"	2	41.5	55.861
"controlPeak2_wt"	"values"	2	1285	22.627
"controlPeak2_dAB"	"values"	2	1091	347.897
"controlPeak3_wt"	"values"	2	829.5	88.388
"controlPeak3_dAB"	"values"	2	578.5	20.506
