"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	89	57.983
"Ci_1_dA"	"values"	2	292	118.794
"Prom_wt"	"values"	2	425	57.983
"Prom_dA"	"values"	2	1484	714.178
"C1_dprom_wt"	"values"	2	444	87.681
"C1_dprom_dA"	"values"	2	1486	748.119
"C2_wt"	"values"	2	181	63.64
"C2_dA"	"values"	2	676	576.999
"C3_wt"	"values"	2	108.5	21.92
"C3_dA"	"values"	2	508.5	163.342
"C4_enhA_wt"	"values"	2	387.5	106.773
"C4_enhA_dA"	"values"	2	1	1.414
"C5_Badj_wt"	"values"	2	32.5	4.95
"C5_Badj_dA"	"values"	2	218	103.238
"C6_enhB_wt"	"values"	2	72	16.971
"C6_enhB_dA"	"values"	2	261.5	143.543
"controlPeak1_wt"	"values"	2	270	42.426
"controlPeak1_dA"	"values"	2	149.5	111.016
"controlPeak2_wt"	"values"	2	1285	22.627
"controlPeak2_dA"	"values"	2	858.5	45.962
"controlPeak3_wt"	"values"	2	829.5	88.388
"controlPeak3_dA"	"values"	2	1042.5	422.143
