"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	89	57.983
"Ci_1_dB"	"values"	2	454.5	10.607
"Prom_wt"	"values"	2	425	57.983
"Prom_dB"	"values"	2	1612.5	147.785
"C1_dprom_wt"	"values"	2	444	87.681
"C1_dprom_dB"	"values"	2	1747.5	313.248
"C2_wt"	"values"	2	181	63.64
"C2_dB"	"values"	2	609	288.5
"C3_wt"	"values"	2	108.5	21.92
"C3_dB"	"values"	2	460	145.664
"C4_enhA_wt"	"values"	2	387.5	106.773
"C4_enhA_dB"	"values"	2	1653	405.879
"C5_Badj_wt"	"values"	2	32.5	4.95
"C5_Badj_dB"	"values"	2	203.5	210.011
"C6_enhB_wt"	"values"	2	72	16.971
"C6_enhB_dB"	"values"	2	0.5	0.707
"controlPeak1_wt"	"values"	2	270	42.426
"controlPeak1_dB"	"values"	2	116	59.397
"controlPeak2_wt"	"values"	2	1285	22.627
"controlPeak2_dB"	"values"	2	1287.5	460.327
"controlPeak3_wt"	"values"	2	829.5	88.388
"controlPeak3_dB"	"values"	2	946	185.262
