"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	89	57.983
"Ci_1_dCTCF"	"values"	2	397.5	286.378
"Prom_wt"	"values"	2	425	57.983
"Prom_dCTCF"	"values"	2	1416.5	451.841
"C1_dprom_wt"	"values"	2	444	87.681
"C1_dprom_dCTCF"	"values"	2	1832	865.499
"C2_wt"	"values"	2	181	63.64
"C2_dCTCF"	"values"	2	543	86.267
"C3_wt"	"values"	2	108.5	21.92
"C3_dCTCF"	"values"	2	297.5	123.744
"C4_enhA_wt"	"values"	2	387.5	106.773
"C4_enhA_dCTCF"	"values"	2	487.5	164.756
"C5_Badj_wt"	"values"	2	32.5	4.95
"C5_Badj_dCTCF"	"values"	2	257	66.468
"C6_enhB_wt"	"values"	2	72	16.971
"C6_enhB_dCTCF"	"values"	2	169.5	84.146
"controlPeak1_wt"	"values"	2	270	42.426
"controlPeak1_dCTCF"	"values"	2	30	9.899
"controlPeak2_wt"	"values"	2	1285	22.627
"controlPeak2_dCTCF"	"values"	2	933.5	549.422
"controlPeak3_wt"	"values"	2	829.5	88.388
"controlPeak3_dCTCF"	"values"	2	835.5	149.2
