"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	100	5.657
"Ci_1_dAB"	"values"	2	168.5	64.347
"Prom_wt"	"values"	2	106.5	71.418
"Prom_dAB"	"values"	2	193	19.799
"C1_dprom_wt"	"values"	2	98	56.569
"C1_dprom_dAB"	"values"	2	229.5	10.607
"C2_wt"	"values"	2	193	48.083
"C2_dAB"	"values"	2	192	14.142
"C3_wt"	"values"	2	122.5	43.134
"C3_dAB"	"values"	2	116.5	26.163
"C4_enhA_wt"	"values"	2	417	33.941
"C4_enhA_dAB"	"values"	2	1.5	2.121
"C5_Badj_wt"	"values"	2	112.5	31.82
"C5_Badj_dAB"	"values"	2	151	39.598
"C6_enhB_wt"	"values"	2	144.5	9.192
"C6_enhB_dAB"	"values"	2	0	0
"controlPeak1_wt"	"values"	2	137.5	113.844
"controlPeak1_dAB"	"values"	2	69.5	12.021
"controlPeak2_wt"	"values"	2	117.5	98.288
"controlPeak2_dAB"	"values"	2	75	11.314
"controlPeak3_wt"	"values"	2	549.5	224.153
"controlPeak3_dAB"	"values"	2	108.5	78.489
