"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	100	5.657
"Ci_1_dA"	"values"	2	213	1.414
"Prom_wt"	"values"	2	106.5	71.418
"Prom_dA"	"values"	2	449.5	256.68
"C1_dprom_wt"	"values"	2	98	56.569
"C1_dprom_dA"	"values"	2	409	127.279
"C2_wt"	"values"	2	193	48.083
"C2_dA"	"values"	2	612	322.441
"C3_wt"	"values"	2	122.5	43.134
"C3_dA"	"values"	2	564	175.362
"C4_enhA_wt"	"values"	2	417	33.941
"C4_enhA_dA"	"values"	2	13.5	14.849
"C5_Badj_wt"	"values"	2	112.5	31.82
"C5_Badj_dA"	"values"	2	524	16.971
"C6_enhB_wt"	"values"	2	144.5	9.192
"C6_enhB_dA"	"values"	2	373.5	259.508
"controlPeak1_wt"	"values"	2	137.5	113.844
"controlPeak1_dA"	"values"	2	102	52.326
"controlPeak2_wt"	"values"	2	117.5	98.288
"controlPeak2_dA"	"values"	2	150.5	55.861
"controlPeak3_wt"	"values"	2	549.5	224.153
"controlPeak3_dA"	"values"	2	149.5	61.518
