"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	100	5.657
"Ci_1_dB"	"values"	2	197	70.711
"Prom_wt"	"values"	2	106.5	71.418
"Prom_dB"	"values"	2	468.5	152.028
"C1_dprom_wt"	"values"	2	98	56.569
"C1_dprom_dB"	"values"	2	383	76.368
"C2_wt"	"values"	2	193	48.083
"C2_dB"	"values"	2	336	8.485
"C3_wt"	"values"	2	122.5	43.134
"C3_dB"	"values"	2	309.5	40.305
"C4_enhA_wt"	"values"	2	417	33.941
"C4_enhA_dB"	"values"	2	1573.5	170.413
"C5_Badj_wt"	"values"	2	112.5	31.82
"C5_Badj_dB"	"values"	2	407	4.243
"C6_enhB_wt"	"values"	2	144.5	9.192
"C6_enhB_dB"	"values"	2	0.5	0.707
"controlPeak1_wt"	"values"	2	137.5	113.844
"controlPeak1_dB"	"values"	2	82.5	44.548
"controlPeak2_wt"	"values"	2	117.5	98.288
"controlPeak2_dB"	"values"	2	120.5	57.276
"controlPeak3_wt"	"values"	2	549.5	224.153
"controlPeak3_dB"	"values"	2	166	41.012
