"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	185	4.243
"Ci_1_dAB"	"values"	2	288	69.296
"Prom_wt"	"values"	2	898.5	255.266
"Prom_dAB"	"values"	2	1717	359.21
"C1_dprom_wt"	"values"	2	464	66.468
"C1_dprom_dAB"	"values"	2	1112.5	78.489
"C2_wt"	"values"	2	128	18.385
"C2_dAB"	"values"	2	429.5	166.17
"C3_wt"	"values"	2	64.5	28.991
"C3_dAB"	"values"	2	125.5	23.335
"C4_enhA_wt"	"values"	2	341	28.284
"C4_enhA_dAB"	"values"	2	12.5	6.364
"C5_Badj_wt"	"values"	2	34	2.828
"C5_Badj_dAB"	"values"	2	163.5	12.021
"C6_enhB_wt"	"values"	2	68	7.071
"C6_enhB_dAB"	"values"	2	6	2.828
"controlPeak1_wt"	"values"	2	171.5	26.163
"controlPeak1_dAB"	"values"	2	62.5	16.263
"controlPeak2_wt"	"values"	2	2056	113.137
"controlPeak2_dAB"	"values"	2	1251.5	412.243
"controlPeak3_wt"	"values"	2	2387	302.642
"controlPeak3_dAB"	"values"	2	1864.5	214.253
