"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	185	4.243
"Ci_1_dA"	"values"	2	815	701.45
"Prom_wt"	"values"	2	898.5	255.266
"Prom_dA"	"values"	2	2948.5	1982.02
"C1_dprom_wt"	"values"	2	464	66.468
"C1_dprom_dA"	"values"	2	2101.5	1406.435
"C2_wt"	"values"	2	128	18.385
"C2_dA"	"values"	2	302	138.593
"C3_wt"	"values"	2	64.5	28.991
"C3_dA"	"values"	2	331.5	341.533
"C4_enhA_wt"	"values"	2	341	28.284
"C4_enhA_dA"	"values"	2	1	1.414
"C5_Badj_wt"	"values"	2	34	2.828
"C5_Badj_dA"	"values"	2	64.5	9.192
"C6_enhB_wt"	"values"	2	68	7.071
"C6_enhB_dA"	"values"	2	142.5	81.317
"controlPeak1_wt"	"values"	2	171.5	26.163
"controlPeak1_dA"	"values"	2	53.5	23.335
"controlPeak2_wt"	"values"	2	2056	113.137
"controlPeak2_dA"	"values"	2	1536	31.113
"controlPeak3_wt"	"values"	2	2387	302.642
"controlPeak3_dA"	"values"	2	2787.5	468.812
