"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	185	4.243
"Ci_1_dB"	"values"	2	504	360.624
"Prom_wt"	"values"	2	898.5	255.266
"Prom_dB"	"values"	2	1755.5	468.812
"C1_dprom_wt"	"values"	2	464	66.468
"C1_dprom_dB"	"values"	2	1295	421.436
"C2_wt"	"values"	2	128	18.385
"C2_dB"	"values"	2	198.5	41.719
"C3_wt"	"values"	2	64.5	28.991
"C3_dB"	"values"	2	224.5	75.66
"C4_enhA_wt"	"values"	2	341	28.284
"C4_enhA_dB"	"values"	2	1212	285.671
"C5_Badj_wt"	"values"	2	34	2.828
"C5_Badj_dB"	"values"	2	43	0
"C6_enhB_wt"	"values"	2	68	7.071
"C6_enhB_dB"	"values"	2	0.5	0.707
"controlPeak1_wt"	"values"	2	171.5	26.163
"controlPeak1_dB"	"values"	2	69.5	43.134
"controlPeak2_wt"	"values"	2	2056	113.137
"controlPeak2_dB"	"values"	2	1349	31.113
"controlPeak3_wt"	"values"	2	2387	302.642
"controlPeak3_dB"	"values"	2	2515	603.869
