"locus"	"variable"	"n"	"mean"	"sd"
"Ci_1_wt"	"values"	2	185	4.243
"Ci_1_dCTCF"	"values"	2	404.5	98.288
"Prom_wt"	"values"	2	898.5	255.266
"Prom_dCTCF"	"values"	2	2860	1224.709
"C1_dprom_wt"	"values"	2	464	66.468
"C1_dprom_dCTCF"	"values"	2	2136.5	1185.818
"C2_wt"	"values"	2	128	18.385
"C2_dCTCF"	"values"	2	467	313.955
"C3_wt"	"values"	2	64.5	28.991
"C3_dCTCF"	"values"	2	196	63.64
"C4_enhA_wt"	"values"	2	341	28.284
"C4_enhA_dCTCF"	"values"	2	443.5	218.496
"C5_Badj_wt"	"values"	2	34	2.828
"C5_Badj_dCTCF"	"values"	2	240	106.066
"C6_enhB_wt"	"values"	2	68	7.071
"C6_enhB_dCTCF"	"values"	2	367.5	301.935
"controlPeak1_wt"	"values"	2	171.5	26.163
"controlPeak1_dCTCF"	"values"	2	32.5	7.778
"controlPeak2_wt"	"values"	2	2056	113.137
"controlPeak2_dCTCF"	"values"	2	1016	404.465
"controlPeak3_wt"	"values"	2	2387	302.642
"controlPeak3_dCTCF"	"values"	2	1937	393.151
